sigma,m_sigma,ms_o_dm,ms_i_dm,s_o_nuc,s_i_nuc,fact,mat
1,-1,-1/2,-1/2,0,1,-sqrt(6)*pi/2,a*b_1
1,-1,-1/2,-1/2,1,0,sqrt(2)*pi/2,a*b_1
1,-1,-1/2,-1/2,1,1,-pi,a*b_1
1,-1,-1/2,1/2,0,1,sqrt(6)*pi,b_1**2
1,-1,-1/2,1/2,1,0,-sqrt(2)*pi,b_1**2
1,-1,-1/2,1/2,1,1,2*pi,b_1**2
1,-1,1/2,-1/2,0,1,sqrt(6)*pi/4,e
1,-1,1/2,-1/2,1,0,-sqrt(2)*pi/4,e
1,-1,1/2,-1/2,1,1,pi/2,e
1,-1,1/2,1/2,0,1,sqrt(6)*pi/2,a*b_1
1,-1,1/2,1/2,1,0,-sqrt(2)*pi/2,a*b_1
1,-1,1/2,1/2,1,1,pi,a*b_1
1,0,-1/2,-1/2,0,1,-sqrt(3)*pi/2,a**2
1,0,-1/2,-1/2,1,0,pi/2,a**2
1,0,-1/2,-1/2,1,1,-sqrt(2)*pi/2,a**2
1,0,-1/2,1/2,0,1,sqrt(3)*pi,a*b_1
1,0,-1/2,1/2,1,0,-pi,a*b_1
1,0,-1/2,1/2,1,1,sqrt(2)*pi,a*b_1
1,0,1/2,-1/2,0,1,sqrt(3)*pi,a*b_2
1,0,1/2,-1/2,1,0,-pi,a*b_2
1,0,1/2,-1/2,1,1,sqrt(2)*pi,a*b_2
1,0,1/2,1/2,0,1,sqrt(3)*pi/2,a**2
1,0,1/2,1/2,1,0,-pi/2,a**2
1,0,1/2,1/2,1,1,sqrt(2)*pi/2,a**2
1,1,-1/2,-1/2,0,1,sqrt(6)*pi/2,a*b_2
1,1,-1/2,-1/2,1,0,-sqrt(2)*pi/2,a*b_2
1,1,-1/2,-1/2,1,1,pi,a*b_2
1,1,-1/2,1/2,0,1,-sqrt(6)*pi/4,e
1,1,-1/2,1/2,1,0,sqrt(2)*pi/4,e
1,1,-1/2,1/2,1,1,-pi/2,e
1,1,1/2,-1/2,0,1,-sqrt(6)*pi,b_2**2
1,1,1/2,-1/2,1,0,sqrt(2)*pi,b_2**2
1,1,1/2,-1/2,1,1,-2*pi,b_2**2
1,1,1/2,1/2,0,1,-sqrt(6)*pi/2,a*b_2
1,1,1/2,1/2,1,0,sqrt(2)*pi/2,a*b_2
1,1,1/2,1/2,1,1,-pi,a*b_2
